id,title,title_py,title_en,product_info,product_info_en,group_id,group_session_id,category_id,cur_category_name_en,cur_category_name,hall_id,cur_hall_name,area_id,area,area_en,cur_area_name,logo,bg_cover,pos_no,addr,desc,sort,delete_time,create_time,update_time,hsort
44024,商都县新宇生物工程有限责任公司,sdxxyswgcyxzrgs,"ShangduCounty Xinyu Bioengineering Co.,Ltd.",[],[],11,24,95,Natural Extracts,天然提取物,197,E4——E4,,中国大陆,China Mainland,,,,E4C79b,,,0,,2024-05-16 20:29:20,2024-05-16 20:29:20,商都县新宇生物工程有限责任公司
42803,山东星之联生物科技股份有限公司,sdxzlswkjgfyxgs,"XZL BIO-TECHNOLOGY CO.,LTD.",[],[],11,24,96,Bio Pharma,生物制药,183,W4——W4,,中国大陆,China Mainland,,,,W4G95,,,0,,2024-05-16 20:29:17,2024-05-16 20:29:17,山东星之联生物科技股份有限公司
42938,山东阳成生物科技有限公司,sdycswkjyxgs,"Shandong Yangcheng Biotechnology Co., Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,194,E7——E7,,中国大陆,China Mainland,,,,E7C60,,,0,,2024-05-16 20:29:17,2024-05-16 20:29:17,山东阳成生物科技有限公司
43255,山东一飞药业股份有限公司,sdyfyygfyxgs,"SHANDONG E.FINE PHARMACY CO.,LTD",[],[],11,24,91,Pharma Ingredients,制药原料,178,W9——W9,,中国大陆,China Mainland,,,,W9A66,,,0,,2024-05-16 20:29:18,2024-05-16 20:29:18,山东一飞药业股份有限公司
42672,山东言赫化工有限公司,sdyhhgyxgs,"Shandong Yanhe Chemical Co., Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,195,E6——E6,,中国大陆,China Mainland,,,,E6D81,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,山东言赫化工有限公司
42733,山东亚康药业股份有限公司,sdykyygfyxgs,"SHANDONG YAKANG PHARMACEUTICAL CO., LTD.",[],[],11,24,91,Pharma Ingredients,制药原料,195,E6——E6,,中国大陆,China Mainland,,,,E6G23,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,山东亚康药业股份有限公司
42417,山东益康药业股份有限公司,sdykyygfyxgs,"Shandong Yikang Pharmaceutical Co.,Ltd",[],[],11,24,94,Finished Dosage,制剂,198,E3——E3,,中国大陆,China Mainland,,,,E3B56,,,0,,2024-05-16 20:29:16,2024-05-16 20:29:16,山东益康药业股份有限公司
43761,山东英朗化工有限公司,sdylhgyxgs,"Shandong Yinglang Chemical Co.,Ltd",[],[],11,24,91,Pharma Ingredients,制药原料,195,E6——E6,,中国大陆,China Mainland,,,,E6G72,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,山东英朗化工有限公司
43011,山东一诺生物质材料股份有限公司,sdynswzclgfyxgs,"Shandong Yino Biologic Materials Co.,Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,194,E7——E7,,中国大陆,China Mainland,,,,E7B22,,,0,,2024-05-16 20:29:17,2024-05-16 20:29:17,山东一诺生物质材料股份有限公司
43755,山东一滕新材料股份有限公司,sdytxclgfyxgs,Shandong ETON New Material Co. Ltd,[],[],11,24,93,Pharma Excipients,药用辅料,198,E3——E3,,中国大陆,China Mainland,,,,E3C78,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,山东一滕新材料股份有限公司
43632,山东优维药业有限公司,sdywyyyxgs,"Shandong Unovet Pharmaceutical Co., Ltd.",[],[],11,24,94,Finished Dosage,制剂,206,E9——E9,,中国大陆,China Mainland,,,,E9A28,,,0,,2024-05-16 20:29:19,2024-05-16 20:29:19,山东优维药业有限公司
